Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
0.064657,,,0.064657,4.122429363,,0.065791,2.224696014
0.12503,,,0.12503,16.13016937,,0.12353,15.48367351
0.19336,73.60329469,,0.1879,55.23646197,,0.1877,55.01616349
0.25618,143.4523771,,0.25244,136.7729371,,0.2522,136.3382689
0.31899,270.2555635,,0.319,270.0918431,,0.31902,270.1164355
0.38382,472.7184662,,0.38361,471.8815489,,0.38381,472.6102426
0.44876,738.6555673,,0.4476,732.9200564,,0.44725,731.1676642
0.51335,1098.315595,,0.51176,1088.111164,,0.51139,1085.777433
0.57876,1763.167288,,0.58023,1776.604912,,0.58032,1777.427792
0.64158,2263.574641,,0.64164,2264.235702,,0.64231,2271.329488
0.70626,2917.366309,,0.70602,2914.392726,,0.70586,2912.38338
0.77196,4017.746064,,0.77564,4075.517221,,0.77471,4060.86315
0.83554,5245.842058,,0.83523,5239.836883,,0.83543,5243.740858
0.90109,6500.723349,,0.90031,6483.842113,,0.89859,6446.77342
0.96272,7798.933231,,0.96209,7783.528139,,0.9624,7791.122034
1.0246,9778.220747,,1.0254,9801.983412,,1.0268,9843.852318
1.0913,12744.34967,,1.0938,12832.55543,,1.0936,12825.24833
1.1565,13812.88901,,1.1499,13575.69475,,1.1493,13554.24515
1.2233,18249.54583,,1.2218,18180.44488,,1.2214,18165.67677
1.2865,21183.49549,,1.287,21206.34902,,1.2877,21244.10522
1.3497,25263.32616,,1.3486,25200.5253,,1.3496,25261.01892
1.4149,30365.51534,,1.4163,30455.22771,,1.4182,30574.64091
1.4782,34824.81853,,1.4751,34611.8501,,1.4764,34700.61186
1.5436,39707.9658,,1.54,39430.09333,,1.539,39356.72271
1.6098,46401.89913,,1.6093,46361.13034,,1.6069,46153.68205
1.6721,51921.36031,,1.6727,51977.08172,,1.6713,51842.87611
1.7407,63104.53706,,1.7378,62788.23023,,1.7369,62699.97935
1.8021,73493.21252,,1.8082,74238.03191,,1.805,73846.95368
1.8647,79588.15651,,1.8648,79599.5101,,1.8642,79518.32083
1.9292,88746.23115,,1.9283,88624.23476,,1.9302,88895.37509
1.99,102454.2738,,1.9859,101817.3041,,1.9877,102103.7845
2.059,120792.5781,,2.0662,122068.5504,,2.0638,121652.9553
2.1237,132519.0249,,2.121,132020.3045,,2.1187,131586.9931
2.1925,158323.0654,,2.1951,158882.7296,,2.1944,158721.0536
2.265,189677.0031,,2.2631,189195.5703,,2.2597,188343.7672
2.3114,187940.2295,,2.3092,187407.9206,,2.3069,186859.009
2.3739,209063.2395,,2.3704,208145.4051,,2.3701,208048.5481
2.4478,254982.3683,,2.4481,255079.0933,,2.4461,254436.97
2.5096,282589.7178,,2.5007,279581.4754,,2.5005,279519.3484
2.571,313695.7693,,2.5715,313873.039,,2.5748,315088.5645
2.639,500128.5802,,2.6389,500086.1916,,2.6389,500096.3447
